experiment,s,sigma,omega1,omega2,Y,Y1,Y2,output_gap,C,I,K,Ef,Er,renewable_share,T,PE1,PE2
baseline_subsidy,0.0,2.0,0.7,0.4,0.2339,0.2364,0.2315,-0.004899999999999988,0.1827,0.0278,0.348,0.0142,0.0077,0.3499,0.0,1.7699,2.1739
baseline_subsidy,0.05,2.0,0.7,0.4,0.2346,0.2368,0.2325,-0.004299999999999998,0.1828,0.0279,0.349,0.0141,0.0082,0.3667,0.0004,1.7598,2.114
baseline_subsidy,0.1,2.0,0.7,0.4,0.2353,0.2372,0.2334,-0.003799999999999998,0.1829,0.028,0.35,0.0139,0.0087,0.3846,0.0009,1.7488,2.0522
baseline_subsidy,0.15,2.0,0.7,0.4,0.236,0.2376,0.2345,-0.0031000000000000194,0.183,0.0281,0.3511,0.0138,0.0093,0.4036,0.0014,1.737,1.9886
baseline_subsidy,0.2,2.0,0.7,0.4,0.2369,0.2382,0.2356,-0.002599999999999991,0.183,0.0282,0.3523,0.0136,0.01,0.4237,0.002,1.7241,1.9231
baseline_subsidy,0.25,2.0,0.7,0.4,0.2377,0.2387,0.2368,-0.001899999999999985,0.183,0.0283,0.3536,0.0135,0.0108,0.4452,0.0027,1.7102,1.8555
baseline_subsidy,0.3,2.0,0.7,0.4,0.2387,0.2393,0.238,-0.0013000000000000234,0.1829,0.0284,0.355,0.0133,0.0117,0.468,0.0035,1.6949,1.7857
baseline_subsidy,0.35,2.0,0.7,0.4,0.2397,0.2399,0.2394,-0.0005000000000000004,0.1827,0.0285,0.3565,0.0131,0.0127,0.4922,0.0045,1.6782,1.7137
baseline_subsidy,0.4,2.0,0.7,0.4,0.2408,0.2406,0.2409,0.0002999999999999947,0.1825,0.0287,0.3582,0.0129,0.0139,0.5179,0.0056,1.6598,1.6393
baseline_subsidy,0.45,2.0,0.7,0.4,0.242,0.2414,0.2426,0.0012000000000000066,0.1821,0.0288,0.36,0.0127,0.0153,0.5451,0.0069,1.6393,1.5625
baseline_subsidy,0.5,2.0,0.7,0.4,0.2433,0.2423,0.2444,0.0021000000000000185,0.1816,0.029,0.362,0.0125,0.0169,0.5739,0.0084,1.6166,1.4831
sigma_sensitivity,0.0,1.2,0.7,0.4,0.2324,0.234,0.2308,-0.0032000000000000084,0.1815,0.0277,0.3458,0.0131,0.0084,0.3905,0.0,1.9039,2.1841
sigma_sensitivity,0.05,1.2,0.7,0.4,0.2331,0.2346,0.2317,-0.0029000000000000137,0.1816,0.0277,0.3468,0.0131,0.0088,0.4024,0.0004,1.883,2.128
